horizon_hours,track,target,rank,model,ablated_feature,feature_group,delta_mae,delta_wape_pct
12,nationality,tim_Ni_mean15,4,poisson,event_sport_motor_intensity_lag24h,events,1.1592,0.0244
12,nationality,tim_Ni_mean15,5,poisson,event_intensity_max_lag24h,events,1.1476,0.0242
12,nationality,tim_Ns_mean15,1,xgboost,tim_Ns_max15_roll24h_mean,target_history,6.4499,5.4168
12,nationality,tim_Ns_mean15,2,xgboost,tim_F6_max15_lag1h,tim,1.7247,1.4485
12,nationality,tim_Ns_mean15,3,xgboost,tim_Gm_mean15_roll6h_mean,tim,1.1551,0.97
12,nationality,tim_Ns_mean15,4,xgboost,event_sport_motor_intensity,events,1.0598,0.89
12,nationality,tim_Ns_mean15,5,xgboost,tim_F1_max15_roll24h_mean,tim,0.3521,0.2957
12,age,tim_F1_mean15,1,dummy_median,event_intensity_max,events,0.0,0.0
12,age,tim_F1_mean15,2,dummy_median,event_intensity_max_lag24h,events,0.0,0.0
12,age,tim_F1_mean15,3,dummy_median,event_intensity_max_roll24h_mean,events,0.0,0.0
12,age,tim_F1_mean15,4,dummy_median,event_scale_max_roll24h_mean,events,0.0,0.0
12,age,tim_F1_mean15,5,dummy_median,event_sport_motor_active_lag1h,events,0.0,0.0
12,age,tim_F2_mean15,1,random_forest,tim_F6_sum15_roll24h_mean,target_history,4.6069,1.259
12,age,tim_F2_mean15,2,random_forest,tim_F6_mean15_lag24h,target_history,1.3998,0.3825
12,age,tim_F2_mean15,3,random_forest,meteo_erg5_tavg_min_roll24h_mean,meteo,0.8639,0.2361
12,age,tim_F2_mean15,4,random_forest,tim_F6_mean15_lag2h,target_history,0.308,0.0842
12,age,tim_F2_mean15,5,random_forest,event_sport_motor_active_lag1h,events,0.1662,0.0454
12,age,tim_F3_mean15,1,hist_gradient_boosting,tim_F6_sum15_roll24h_mean,target_history,26.5142,5.9262
12,age,tim_F3_mean15,2,hist_gradient_boosting,meteo_erg5_tavg_min_roll24h_mean,meteo,2.9969,0.6698
12,age,tim_F3_mean15,3,hist_gradient_boosting,tim_F1_max15_roll24h_mean,target_history,2.1003,0.4694
12,age,tim_F3_mean15,4,hist_gradient_boosting,tim_F6_mean15_lag24h,target_history,0.8263,0.1847
12,age,tim_F3_mean15,5,hist_gradient_boosting,event_sport_motor_intensity_roll24h_mean,events,0.765,0.171
12,age,tim_F4_mean15,1,hist_gradient_boosting,tim_F6_sum15_roll24h_mean,target_history,52.1771,7.8601
12,age,tim_F4_mean15,2,hist_gradient_boosting,event_scale_max_roll24h_mean,events,3.1479,0.4742
12,age,tim_F4_mean15,3,hist_gradient_boosting,event_intensity_max,events,2.489,0.3749
12,age,tim_F4_mean15,4,hist_gradient_boosting,event_sport_motor_active_lag24h,events,2.1456,0.3232
12,age,tim_F4_mean15,5,hist_gradient_boosting,event_intensity_max_lag24h,events,1.9193,0.2891
12,age,tim_F5_mean15,1,random_forest,tim_F6_sum15_roll24h_mean,target_history,13.9157,1.5847
12,age,tim_F5_mean15,2,random_forest,tim_P_max15_roll6h_mean,tim,3.2739,0.3728
12,age,tim_F5_mean15,3,random_forest,tim_F6_mean15_lag24h,target_history,3.1965,0.364
12,age,tim_F5_mean15,4,random_forest,tim_F6_mean15_lag2h,target_history,2.3112,0.2632
12,age,tim_F5_mean15,5,random_forest,meteo_erg5_tavg_min_roll24h_mean,meteo,1.9962,0.2273
12,age,tim_F6_mean15,1,hist_gradient_boosting,tim_F6_sum15_roll24h_mean,target_history,104.5468,6.814
12,age,tim_F6_mean15,2,hist_gradient_boosting,event_intensity_max_roll24h_mean,events,3.8373,0.2501
12,age,tim_F6_mean15,3,hist_gradient_boosting,event_sport_motor_intensity_lag1h,events,3.1601,0.206
12,age,tim_F6_mean15,4,hist_gradient_boosting,event_sport_motor_intensity_roll24h_mean,events,3.0184,0.1967
12,age,tim_F6_mean15,5,hist_gradient_boosting,tim_F6_mean15_lag2h,target_history,2.9728,0.1938
24,flow,ingressi_borgo,1,xgboost,tim_Vp_mean15_lag24h,tim,3.5881,7.1123
24,flow,ingressi_borgo,2,xgboost,ingressi_borgo_lag1h,target_history,0.9845,1.9514
