horizon_hours,target_set,analysis_dir,model,target,model_family,n_train,n_test,fit_seconds,predict_seconds,total_seconds,inference_ms_per_row,mae,rmse,r2,smape_pct,wape_pct,mase,nmae_vs_mean_target,peak_mae,peak_threshold,peak_support,peak_predicted,peak_precision,peak_recall,peak_f1
12,age,outputs/slurm_dozza_three_analyses/h12h/age,hist_gradient_boosting,tim_F6_mean15,feature_model,2090,526,0.2248,0.0053,0.2301,0.01,87.3494,103.5342,-0.9796,5.6168,5.6931,1.3221,0.0569,,2207.2988,0,0,,,
12,flow,outputs/slurm_dozza_three_analyses/h12h/flow,extra_trees,ingressi_borgo,feature_model,2090,526,0.9038,0.054,0.9579,0.1027,21.9923,51.4467,0.4754,66.2982,44.2183,0.818,0.4422,68.6441,83.1,100,79,0.8354,0.66,0.7374
12,flow,outputs/slurm_dozza_three_analyses/h12h/flow,random_forest,uscite_borgo,feature_model,2090,526,0.6179,0.0436,0.6615,0.083,24.5919,45.4446,0.55,69.505,45.9335,0.8258,0.4593,62.1706,81.0,109,124,0.6129,0.6972,0.6524
12,nationality,outputs/slurm_dozza_three_analyses/h12h/nationality,poisson,tim_Ni_mean15,feature_model,2090,526,0.008,0.0009,0.0089,0.0017,357.5705,464.6895,-0.3907,7.5911,7.5266,1.3596,0.0753,,6652.1441,0,0,,,
12,nationality,outputs/slurm_dozza_three_analyses/h12h/nationality,xgboost,tim_Ns_mean15,feature_model,2090,526,0.1023,0.0019,0.1042,0.0036,20.7771,27.0677,-0.0638,17.71,17.4491,0.59,0.1745,49.4683,147.5231,76,0,,0.0,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,dummy_median,tim_F1_mean15,feature_model,2048,519,0.0002,0.0001,0.0003,0.0001,10.8896,14.3578,-0.0065,16.875,15.8812,0.9695,0.1588,28.7821,93.3963,11,0,,0.0,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,extra_trees,tim_F2_mean15,feature_model,2048,519,0.2172,0.0436,0.2608,0.084,28.0726,35.6678,0.3338,7.8836,7.6933,0.701,0.0769,,527.9375,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,lightgbm,tim_F3_mean15,feature_model,2048,519,0.1035,0.0023,0.1058,0.0044,34.2094,43.9041,0.2875,7.8604,7.6712,0.7937,0.0767,,681.8708,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,random_forest,tim_F4_mean15,feature_model,2048,519,0.4628,0.0433,0.5061,0.0833,43.0282,53.3415,0.4025,6.6957,6.4993,0.754,0.065,,1016.5329,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,random_forest,tim_F5_mean15,feature_model,2048,519,0.4706,0.0433,0.5139,0.0835,58.1223,75.4659,0.4313,6.8497,6.64,0.8619,0.0664,,1270.317,0,0,,,
24,age,outputs/slurm_dozza_three_analyses/h24h/age,xgboost,tim_F6_mean15,feature_model,2048,519,0.1914,0.0023,0.1937,0.0045,50.9814,68.1651,0.1528,3.3227,3.3249,0.7765,0.0332,,2207.4981,0,0,,,
24,flow,outputs/slurm_dozza_three_analyses/h24h/flow,xgboost,ingressi_borgo,feature_model,2048,519,0.2784,0.0029,0.2813,0.0055,23.0604,53.741,0.4325,63.1152,45.7104,0.8772,0.4571,80.5646,81.3,104,64,0.75,0.4615,0.5714
24,flow,outputs/slurm_dozza_three_analyses/h24h/flow,random_forest,uscite_borgo,feature_model,2048,519,0.5575,0.0433,0.6008,0.0834,24.9457,50.1578,0.4559,61.8019,46.0004,0.8704,0.46,82.0095,81.0,109,63,0.7778,0.4495,0.5698
24,nationality,outputs/slurm_dozza_three_analyses/h24h/nationality,xgboost,tim_Ni_mean15,feature_model,2048,519,0.1145,0.0019,0.1164,0.0036,201.7913,264.9875,0.5516,4.3662,4.259,0.7843,0.0426,,6649.723,0,0,,,
24,nationality,outputs/slurm_dozza_three_analyses/h24h/nationality,random_forest,tim_Ns_mean15,feature_model,2048,519,0.3986,0.055,0.4536,0.106,19.1707,25.6687,0.0543,16.3676,16.1266,0.5231,0.1613,44.3381,147.02,79,9,0.5556,0.0633,0.1136
